kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
ÇÖL;KUM;SICAK;DEVE;SUSUZ;VAHA;2
MEVSİM;YAZ;KIŞ;DÖRT;İLKBAHAR;HAVA;2
VOLKAN;LAV;KRATER;MAGMA;PATLAMA;DAĞ;2
BOĞAZ;İSTANBUL;KÖPRÜ;DENİZ;GEÇİT;VAPUR;3
DEPREM;SARSINTI;FAY;ŞİDDET;YIKILMAK;RİHTER;3
BUZUL;ERİME;KUTUP;SOĞUK;BUZ;İKLİM;3
KAPADOKYA;PERİBACASI;NEVŞEHİR;BALON;TÜF;TURİST;3
DELTA;NEHİR;AĞIZ;OVA;VERİMLİ;TOPRAK;4
YARIMADA;KARA;DENİZ;ÜÇ YAN;ÇIKINTI;ANADOLU;4
TROPİKAL;EKVATOR;NEMLİ;SICAK;ORMAN;YAĞMUR;5
DAĞ;YÜKSEK;ZİRVE;TIRMANMAK;KAR;ETEK;1
ZİRVE;TEPE;EN YÜKSEK;DAĞ;ULAŞMAK;BAYRAK;3
VADİ;İKİ DAĞ;ARA;NEHİR;DERİN;UZUN;3
OVA;DÜZ;GENİŞ;TARIM;VERİMLİ;ALÇAK;3
PLATO;YÜKSEK;DÜZ;OT;HAYVAN;YAYLA;4
YAYLA;YÜKSEK;SERİN;YAZ;OTLAK;ÇIKMAK;3
TEPE;KÜÇÜK;YÜKSELTİ;ÇIKMAK;ÜSTÜ;MANZARA;2
GÖL;SU;ÇEVRESİ KARA;TATLI;BALIK;DURGUN;2
NEHİR;AKMAK;YATAK;KÖPRÜ;DENİZE;UZUN;2
DERE;KÜÇÜK;AKMAK;KÖY;SU;TAŞ;3
ŞELALE;YÜKSEK;DÜŞMEK;SU;SES;KÖPÜK;2
KAYNAK;SU;ÇIKMAK;YER ALTI;BAŞLANGIÇ;TEMİZ;3
BATAKLIK;ÇAMUR;BATMAK;SAZLIK;SİVRİSİNEK;ISLAK;4
OKYANUS;ÇOK BÜYÜK;SU;DERİN;TUZLU;KITA;2
KÖRFEZ;DENİZ;İÇERİ;KARA;GİRİNTİ;LİMAN;3
ADA;ETRAFI SU;KARA;VAPUR;KÜÇÜK;TATİL;2
TAKIMADA;ÇOK ADA;GRUP;DENİZ;YAKIN;COĞRAFYA;5
KIYI;DENİZ;KARA;SINIR;KUM;DALGA;2
