kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
ORUÇ;RAMAZAN;İFTAR;SAHUR;TUTMAK;AÇ;1
ABDEST;NAMAZ;SU;ALMAK;TEMİZLİK;YIKAMAK;2
EZAN;MİNARE;OKUNMAK;NAMAZ;MÜEZZİN;ÇAĞRI;2
KÂBE;MEKKE;TAVAF;SİYAH;KIBLE;HAC;2
ZEKÂT;VERMEK;MAL;FAKİR;KIRKTA BİR;İBADET;3
SADAKA;VERMEK;YARDIM;İHTİYAÇ;GÖNÜLLÜ;HAYIR;3
HİCRET;MEKKE;MEDİNE;GÖÇ;PEYGAMBER;TAKVİM;3
KANDİL;GECE;MÜBAREK;SİMİT;CAMİ;MUM;3
BAYRAMLAŞMA;EL ÖPMEK;ZİYARET;TEBRİK;AKRABA;SARILMAK;4
İHLÂS;SAMİMİYET;KALP;NİYET;İBADET;GÖSTERİŞSİZ;5
NAMAZ;İBADET;BEŞ VAKİT;SECDE;SECCADE;KIBLE;1
SECDE;YERE;ALIN;NAMAZ;EĞİLMEK;İBADET;3
RÜKÛ;EĞİLMEK;NAMAZ;BEL;DİZ;İBADET;4
KIBLE;YÖN;KÂBE;DÖNMEK;NAMAZ;PUSULA;2
SECCADE;SERMEK;NAMAZ;DESEN;KÜÇÜK;HALI;2
CAMİ;İBADET;MİNARE;CEMAAT;HALI;KUBBE;1
CEMAAT;TOPLULUK;NAMAZ;İMAM;ARKA;SAF;3
İMAM;ÖNDE;NAMAZ;CAMİ;KILDIRMAK;GÖREVLİ;2
MÜEZZİN;EZAN;CAMİ;SES;OKUMAK;GÖREVLİ;3
MİHRAP;CAMİ;OYUK;KIBLE;İMAM;DUVAR;4
MİNBER;CAMİ;MERDİVEN;HUTBE;YÜKSEK;CUMA;4
HUTBE;CUMA;KONUŞMA;İMAM;DİNLEMEK;MİNBER;4
CUMA NAMAZI;HAFTA;ÖĞLE;CEMAAT;KALABALIK;CAMİ;2
TERAVİH;RAMAZAN;GECE;UZUN;CEMAAT;NAMAZ;3
GUSÜL;TEMİZLİK;SU;BOY;İBADET;ÖNCE;4
TEYEMMÜM;SU YOK;TOPRAK;ABDEST;YERİNE;İZİN;5
NİYET;İÇTEN;BAŞLAMAK;İBADET;KARAR;KALP;3
KURAN;KİTAP;OKUMAK;AYET;SURE;İNDİRİLMEK;1
AYET;KURAN;CÜMLE;OKUMAK;NUMARA;SURE;3
SURE;KURAN;BÖLÜM;İSİM;OKUMAK;AYET;3
FATİHA;SURE;İLK;NAMAZ;OKUMAK;KURAN;3
HAFIZ;EZBER;KURAN;OKUMAK;TAMAMI;GENÇ;3
HADİS;PEYGAMBER;SÖZ;RİVAYET;KİTAP;ÖĞÜT;3
PEYGAMBER;ELÇİ;VAHİY;İNSAN;GÖNDERİLMEK;ÖRNEK;3
VAHİY;MELEK;İNDİRMEK;PEYGAMBER;MESAJ;İLAHÎ;4
MELEK;NUR;KANAT;GÖRÜNMEZ;GÖREV;İYİLİK;3
CEBRAİL;MELEK;VAHİY;GETİRMEK;PEYGAMBER;BÜYÜK;4
AZRAİL;MELEK;CAN;GÖREV;SON;İNANIŞ;4
İSRAFİL;MELEK;SUR;ÜFLEMEK;KIYAMET;GÖREV;5
KIYAMET;SON;DÜNYA;İNANIŞ;GÜN;HESAP;3
AHİRET;SONRASI;EBEDÎ;İNANIŞ;HESAP;DÜNYA;3
CENNET;ÖDÜL;GÜZEL;IRMAK;İNANIŞ;SONSUZ;2
CEHENNEM;CEZA;ATEŞ;İNANIŞ;KORKU;SONSUZ;2
MİZAN;TERAZİ;AMEL;TARTMAK;HESAP;AHİRET;5
AMEL;İŞ;DAVRANIŞ;KAYIT;İYİ;KÖTÜ;4
TEVBE;PİŞMANLIK;DÖNMEK;AF;İSTEMEK;KALP;3
AF;BAĞIŞLAMAK;HATA;İSTEMEK;GÖNÜL;SUÇ;3
ŞÜKÜR;TEŞEKKÜR;NİMET;HAMD;GÖNÜL;RAZI;3
NİMET;VERİLEN;BEREKET;KIYMET;YEMEK;ŞÜKÜR;4
BEREKET;ÇOĞALMAK;BOLLUK;EKMEK;DUA;ARTMAK;3
DUA;İSTEMEK;EL AÇMAK;GÖNÜL;SÖZ;AMİN;2
AMİN;DUA;SONU;SÖYLEMEK;KABUL;BİRLİKTE;3
BESMELE;BAŞLAMAK;SÖYLEMEK;İŞ;ÖNCE;BEREKET;3
HELAL;İZİN;YEMEK;UYGUN;DİN;SERBEST;3
HARAM;YASAK;DİN;UZAK;KAÇINMAK;GÜNAH;3
GÜNAH;YANLIŞ;KAÇINMAK;TEVBE;YÜK;İŞLEMEK;3
FARZ;ZORUNLU;İBADET;YAPMAK;EMİR;NAMAZ;4
NAFİLE;GÖNÜLLÜ;FAZLADAN;İBADET;SEVAP;ZORUNLU DEĞİL;5
TAKVA;SAKINMAK;DİKKAT;KALP;DİN;DERECE;5
İMAN;İNANMAK;KALP;ESAS;GÜVEN;ŞART;3
İSLAM;DİN;BARIŞ;TESLİM;BEŞ ŞART;İNANÇ;2
ŞEHADET;SÖZ;İNANMAK;İLK ŞART;SÖYLEMEK;İMAN;4
HAC;KÂBE;GİTMEK;İHRAM;TAVAF;İBADET;3
UMRE;KÂBE;ZİYARET;KÜÇÜK;GİTMEK;İBADET;4
TAVAF;KÂBE;DÖNMEK;YEDİ;ÇEVRE;HAC;4
İHRAM;BEYAZ;İKİ PARÇA;HAC;GİYMEK;SADE;4
SAFA MERVE;TEPE;YÜRÜMEK;HAC;ARASINDA;HACER;5
ZEMZEM;SU;KUYU;MEKKE;İÇMEK;KUTSAL;3
MEKKE;ŞEHİR;KÂBE;DOĞMAK;HAC;KUTSAL;2
MEDİNE;ŞEHİR;HİCRET;MESCİT;İKİNCİ;KUTSAL;3
KUDÜS;ŞEHİR;MESCİD;İLK KIBLE;ÜÇÜNCÜ;KUTSAL;3
MESCİT;İBADET;KÜÇÜK;CAMİ;YER;NAMAZ;3
RAMAZAN;AY;ORUÇ;İFTAR;SAHUR;BEREKET;1
KADİR GECESİ;RAMAZAN;BİN AY;DUA;GECE;DEĞERLİ;4
FITIR SADAKASI;RAMAZAN;BAYRAM;VERMEK;İHTİYAÇ;ÖNCE;5
RAMAZAN BAYRAMI;ŞEKER;ÜÇ GÜN;ZİYARET;TEBRİK;ORUÇ SONU;2
