kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
ŞİİR;DİZE;KAFİYE;ŞAİR;DUYGU;YAZMAK;1
ROMAN;UZUN;KİTAP;KAHRAMAN;OLAY;YAZAR;2
MASAL;BİR VARMIŞ;PADİŞAH;ÇOCUK;ANLATMAK;DEV;2
ATASÖZÜ;ÖĞÜT;KISA;HALK;ANONİM;DERS;3
TİYATRO;SAHNE;OYUNCU;PERDE;SEYİRCİ;REPLİK;3
DESTAN;KAHRAMAN;ESKİ;MANZUM;MİLLET;OLAĞANÜSTÜ;3
KAFİYE;SES;BENZERLİK;DİZE;SON;UYAK;3
NÂZIM HİKMET;ŞAİR;HAPİS;MEMLEKET;SERBEST;ÜNLÜ;4
DİVAN;OSMANLI;ŞİİR;GAZEL;ARUZ;KLASİK;4
DENEME;MONTAİGNE;DÜŞÜNCE;YAZI;SERBEST;KANITSIZ;5
ÖYKÜ;KISA;ANLATI;KARAKTER;OLAY;YAZMAK;2
KARAKTER;KİŞİ;ROMAN;ÖZELLİK;YARATMAK;OKUYUCU;3
OLAY ÖRGÜSÜ;SIRA;ROMAN;GELİŞMEK;BAĞ;ANLATI;4
ANLATICI;SES;ROMAN;BİRİNCİ KİŞİ;ANLATMAK;BAKIŞ;4
DİYALOG;KONUŞMA;İKİ KİŞİ;TIRNAK;ROMAN;KARŞILIKLI;3
BETİMLEME;TASVİR;RESİM;ANLATMAK;AYRINTI;YAZI;4
MECAZ;GERÇEK DIŞI;ANLAM;SÖZ;BENZETME;EDEBÎ;4
BENZETME;GİBİ;KIYAS;İKİ;SÖZ;ANLATIM;3
KİŞİLEŞTİRME;CANSIZ;İNSAN GİBİ;ANLATIM;EDEBÎ;SANAT;5
ABARTMA;BÜYÜTMEK;ÇOK;ANLATIM;SANAT;GERÇEKÜSTÜ;4
NAZIM;ŞİİR;DİZE;ÖLÇÜ;BİÇİM;YAZI;5
NESİR;DÜZ YAZI;ROMAN;CÜMLE;ŞİİRSİZ;ANLATIM;5
DİZE;ŞİİR;SATIR;KAFİYE;ALT ALTA;OKUMAK;3
DÖRTLÜK;ŞİİR;DÖRT DİZE;BÖLÜM;HALK;KAFİYE;4
REDİF;ŞİİR;TEKRAR;SON;KAFİYE;EK;5
ÖLÇÜ;ŞİİR;HECE;SAYMAK;DÜZEN;ARUZ;4
HECE ÖLÇÜSÜ;SAYMAK;ŞİİR;HALK;EŞİT;DÜZEN;4
ARUZ;ÖLÇÜ;UZUN;KISA;DİVAN;ŞİİR;5
SERBEST ŞİİR;ÖLÇÜSÜZ;MODERN;KAFİYESİZ;YAZMAK;ÖZGÜR;4
ŞAİR;ŞİİR;YAZMAK;DUYGU;DİZE;KİTAP;2
YAZAR;KİTAP;YAZMAK;ROMAN;İMZA;MASA;2
ELEŞTİRMEN;YORUM;DEĞERLENDİRMEK;ESER;YAZMAK;GÖRÜŞ;4
YAYINEVİ;KİTAP;BASMAK;EDİTÖR;KAPAK;DAĞITIM;3
EDİTÖR;METİN;DÜZELTMEK;YAYIN;ÖNERİ;OKUMAK;4
BASKI;KİTAP;SAYI;YENİ;TÜKENMEK;MATBAA;3
SAYFA;KİTAP;ÇEVİRMEK;NUMARA;YAZI;İNCE;2
BÖLÜM;KİTAP;AYIRMAK;BAŞLIK;SIRA;OKUMAK;3
ÖNSÖZ;BAŞTA;AÇIKLAMA;YAZAR;KİTAP;OKUMAK;4
DİPNOT;ALTTA;AÇIKLAMA;KÜÇÜK;NUMARA;KAYNAK;5
KAYNAKÇA;LİSTE;SON;ESER;YAZMAK;ARAŞTIRMA;5
ALINTI;BAŞKASI;SÖZ;TIRNAK;KULLANMAK;KAYNAK;4
