kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
TELEVİZYON;EKRAN;İZLEMEK;KUMANDA;KANAL;DİZİ;1
MERDİVEN;BASAMAK;ÇIKMAK;İNMEK;KAT;TIRMANMAK;3
ŞEMSİYE;YAĞMUR;AÇMAK;ISLANMAK;SAP;KORUMAK;1
ANAHTAR;KİLİT;KAPI;AÇMAK;CEP;KAYBETMEK;2
AYNA;BAKMAK;YANSIMA;CAM;YÜZ;BANYO;3
BUZDOLABI;SOĞUK;MUTFAK;YİYECEK;KAPAK;DONDURUCU;1
YASTIK;BAŞ;UYKU;YATAK;YUMUŞAK;KILIF;1
ÇAMAŞIR;YIKAMAK;MAKİNE;KİRLİ;ASMAK;DETERJAN;3
PENCERE;CAM;AÇMAK;MANZARA;PERDE;ODA;2
TERAZİ;TARTMAK;KİLO;DENGE;KEFE;AĞIRLIK;3
GÖLGE;GÜNEŞ;KARANLIK;DÜŞMEK;ARKA;ŞEKİL;4
ALIŞKANLIK;TEKRAR;BIRAKMAK;HER GÜN;DAVRANIŞ;ZOR;5
KAŞIK;ÇORBA;YEMEK;SAP;METAL;AĞIZ;1
ÇATAL;BIÇAK;YEMEK;DİŞ;BATIRMAK;SOFRA;1
BARDAK;SU;İÇMEK;CAM;DOLDURMAK;KIRILMAK;1
TABAK;YEMEK;YUVARLAK;SOFRA;YIKAMAK;PORSELEN;1
SANDALYE;OTURMAK;AYAK;MASA;ARKALIK;TAHTA;1
KAPI;AÇMAK;KOLU;ZİL;GİRMEK;ODA;1
LAMBA;IŞIK;YAKMAK;AMPUL;KARANLIK;DÜĞME;1
PERDE;PENCERE;ÇEKMEK;KUMAŞ;GÜNEŞ;KAPATMAK;2
KOLTUK;OTURMAK;YUMUŞAK;SALON;İKİ KİŞİLİK;YASLANMAK;1
DOLAP;EŞYA;KAPAK;RAF;KIYAFET;AÇMAK;1
ÇEKMECE;DOLAP;SAKLAMAK;İÇİNE;RAY;MASA;2
AVİZE;TAVAN;IŞIK;SALON;ASILI;KRİSTAL;3
SAKSI;ÇİÇEK;TOPRAK;SULAMAK;PENCERE;KİL;2
BATTANİYE;ÖRTMEK;SICAK;YATAK;YÜN;ÜSTÜNE;1
HAVLU;KURULAMAK;BANYO;ISLAK;PAMUK;ASMAK;1
SABUN;KÖPÜK;YIKAMAK;EL;TEMİZ;KAYGAN;1
TARAK;SAÇ;DİŞ;DÜZELTMEK;AYIRMAK;CEP;2
FIRÇA;DİŞ;SÜRMEK;SAP;TEMİZLEMEK;BOYA;2
MAKAS;KESMEK;İKİ AĞIZ;KÂĞIT;KESKİN;PARMAK;1
İP;BAĞLAMAK;UZUN;İNCE;ÇÖZMEK;DÜĞÜM;2
ÇİVİ;ÇAKMAK;ÇEKİÇ;DUVAR;SİVRİ;ASMAK;2
ÇEKİÇ;VURMAK;ÇİVİ;SAP;DEMİR;ALET;1
VİDA;SIKMAK;TORNAVİDA;DÖNDÜRMEK;DİŞLİ;METAL;3
KOVA;SU;TAŞIMAK;SAP;DOLDURMAK;PLASTİK;2
SÜPÜRGE;TOZ;YER;SAP;TEMİZLİK;FARAŞ;1
ÇÖP;ATMAK;KOVA;KOKU;TOPLAMAK;POŞET;1
KUTU;İÇİNE;KAPAK;KARTON;SAKLAMAK;AÇMAK;1
ÇANTA;TAŞIMAK;OMUZ;İÇİNE;FERMUAR;OKUL;1
CÜZDAN;PARA;CEP;KİMLİK;DERİ;KAYBETMEK;2
KEMER;BEL;PANTOLON;TOKA;SIKMAK;DERİ;2
DÜĞME;İLİK;DİKMEK;GÖMLEK;KOPMAK;YUVARLAK;2
FERMUAR;ÇEKMEK;AÇMAK;MONT;DİŞLİ;TAKILMAK;3
ÇORAP;AYAK;GİYMEK;TEK;YÜN;KAYBOLMAK;1
AYAKKABI;GİYMEK;BAĞCIK;TABAN;NUMARA;YÜRÜMEK;1
ŞAPKA;BAŞ;GİYMEK;GÜNEŞ;SİPER;ÇIKARMAK;1
ELDİVEN;EL;SOĞUK;GİYMEK;PARMAK;ÇİFT;1
ATKI;BOYUN;SOĞUK;SARMAK;YÜN;UZUN;2
GÖZLÜK;GÖZ;CAM;TAKMAK;GÖRMEK;NUMARA;1
YÜZÜK;PARMAK;TAKMAK;ALTIN;NİŞAN;YUVARLAK;1
KOLYE;BOYUN;TAKMAK;ZİNCİR;TAKI;ALTIN;2
SAAT;ZAMAN;KOL;AKREP;YELKOVAN;KURMAK;1
CÜMLE;KELİME;NOKTA;KURMAK;YAZMAK;ANLAM;3
DEFTER;YAZMAK;SAYFA;ÇİZGİ;OKUL;KAPAK;1
