kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
SATRANÇ;TAHTA;ŞAH;PİYON;MAT;HAMLE;1
YAPBOZ;PARÇA;BİRLEŞTİRME;RESİM;SABIR;KUTU;1
ÖRGÜ;ŞİŞ;YÜN;İLMEK;KAZAK;ÖRMEK;1
OKEY;TAŞ;ISTAKA;GÖSTERGE;DÖRT KİŞİ;ÇİFT;1
TAVLA;ZAR;PUL;ÇİFT;ÇİNKO;KAPI;1
BALIK TUTMAK;OLTA;YEM;SABIR;DENİZ;MİSİNA;1
KOLEKSİYON;BİRİKTİRMEK;PUL;MERAK;TOPLAMAK;RAF;2
FOTOĞRAFÇILIK;MAKİNE;ÇEKMEK;IŞIK;KARE;OBJEKTİF;3
SUDOKU;SAYI;KARE;DOKUZ;BULMACA;TEKRARSIZ;2
MAKET;MODEL;KÜÇÜK;PARÇA;YAPIŞTIRMAK;SABIR;3
BULMACA;KARE;KELİME;DOLDURMAK;GAZETE;KALEM;1
KELİME OYUNU;HARF;PUAN;TAHTA;DİZMEK;DÜŞÜNMEK;2
ZEKÂ OYUNU;DÜŞÜNMEK;ÇÖZMEK;STRATEJİ;KUTU;EĞLENCE;2
STRATEJİ OYUNU;PLAN;HAMLE;KAZANMAK;DÜŞÜNMEK;TAHTA;4
KUTU OYUNU;MASA;PUL;ZAR;ARKADAŞ;KURALLAR;2
DOMİNO;TAŞ;NOKTA;DİZMEK;DEVİRMEK;EŞLEŞTİRMEK;2
DAMA;KARE;SİYAH BEYAZ;TAŞ;ATLAMAK;TAHTA;2
MİKADO;ÇUBUK;DÖKMEK;ALMAK;OYNATMAMAK;DİKKAT;4
RUBİK KÜPÜ;RENK;ÇEVİRMEK;ALTI YÜZ;ÇÖZMEK;SÜRE;2
LABİRENT;YOL;ÇIKIŞ;KAYBOLMAK;ÇİZGİ;BULMAK;2
KART OYUNU;DESTE;DAĞITMAK;EL;PUAN;MASA;2
BLÖF;YALAN;YÜZ;OYUN;KANDIRMAK;RİSK;3
TOMBALA;TORBA;SAYI;ÇEKMEK;KART;YILBAŞI;1
ÇEKİLİŞ;ŞANS;İSİM;KAZANMAK;TORBA;HEDİYE;2
SESSİZ SİNEMA;ANLATMAK;EL;FİLM;TAHMİN;KONUŞMAMAK;3
KUTU KUTU PENSE;ÇOCUK;OYUN;EL;ŞARKI;HALKA;4
ELİM SENDE;KOŞMAK;DOKUNMAK;ÇOCUK;OYUN;BAHÇE;2
KÖR EBE;GÖZ BAĞLAMAK;YAKALAMAK;OYUN;ÇOCUK;DÖNMEK;2
LANGIRT;ÇUBUK;ÇEVİRMEK;TOP;MASA;GOL;2
OYUN HAMURU;RENKLİ;ŞEKİL;ÇOCUK;YUMUŞAK;YOĞURMAK;2
BONCUK;İP;DİZMEK;RENKLİ;KOLYE;KÜÇÜK;2
TAKI TASARIMI;BONCUK;TEL;YAPMAK;EL İŞİ;SATMAK;4
RESİM YAPMAK;FIRÇA;BOYA;KÂĞIT;ÇİZMEK;HOBİ;2
SULU BOYA;FIRÇA;SU;KÂĞIT;RENK;AKMAK;2
YAĞLI BOYA;TUVAL;KOKU;KALIN;RESİM;KURUMAK;3
KARAKALEM;GRİ;ÇİZMEK;GÖLGE;KÂĞIT;SİLGİ;2
ESKİZ;HIZLI;ÇİZİM;TASLAK;DEFTER;KALEM;3
BOYAMA KİTABI;ÇOCUK;KURU BOYA;ÇİZGİ;İÇİNİ;RAHATLAMAK;3
ORİGAMİ;KÂĞIT;KATLAMAK;KUŞ;JAPON;ŞEKİL;3
KOLAJ;KESMEK;YAPIŞTIRMAK;PARÇA;RESİM;KARIŞIK;4
SERAMİK ATÖLYESİ;ÇAMUR;ÇARK;ŞEKİL;KURS;EL;4
AHŞAP BOYAMA;FIRÇA;DESEN;TAHTA;RENK;HOBİ;3
MOZAİK;KÜÇÜK;PARÇA;YAPIŞTIRMAK;DESEN;RENKLİ;3
SABUN YAPIMI;KALIP;KOKU;RENK;DÖKMEK;EL;3
MUM YAPIMI;ERİTMEK;FİTİL;KALIP;KOKU;DÖKMEK;3
SAKSI BİTKİSİ;SULAMAK;YEŞİL;PENCERE;TOPRAK;BAKMAK;3
KAKTÜS;DİKEN;SU İSTEMEZ;SAKSI;ÇÖL;KÜÇÜK;1
SUKULENT;ETLİ;YAPRAK;AZ SU;SAKSI;POPÜLER;5
BALKON BAHÇESİ;SAKSI;YEŞİL;GÜNEŞ;SULAMAK;KÜÇÜK;4
TOHUM EKMEK;TOPRAK;ÇUKUR;SU;BEKLEMEK;FİLİZ;2
BUDAMA;MAKAS;DAL;KESMEK;ŞEKİL;AĞAÇ;3
AŞILAMA;DAL;BİRLEŞTİRMEK;AĞAÇ;YENİ;SARMAK;5
KOMPOST;ATIK;ÇÜRÜTMEK;TOPRAK;DOĞAL;GÜBRE;5
BONSAİ;KÜÇÜK;AĞAÇ;JAPON;BUDAMA;SAKSI;4
JAPON BALIĞI;TURUNCU;AKVARYUM;KÜÇÜK;YÜZMEK;BESLEMEK;2
MUHABBET KUŞU;KAFES;YEŞİL;KONUŞMAK;TÜY;BESLEMEK;3
KANARYA;SARI;ÖTMEK;KAFES;KÜÇÜK;SES;2
HAMSTER;KAFES;ÇARK;KÜÇÜK;TÜYLÜ;KOŞMAK;2
EVCİL HAYVAN;BESLEMEK;SEVGİ;SORUMLULUK;EV;DOST;1
HAYVAN MARKETİ;MAMA;KAFES;OYUNCAK;SATMAK;BAKIM;4
KUŞ GÖZLEMİ;DÜRBÜN;SESSİZ;DEFTER;TÜR;DOĞA;3
PUL BİRİKTİRMEK;ALBÜM;ESKİ;ÜLKE;YAPIŞTIRMAK;NADİR;3
ESKİ PARA;BİRİKTİRMEK;NADİR;DEĞER;YIL;ALBÜM;3
ANTİKA;ESKİ;DEĞERLİ;TOPLAMAK;DÜKKÂN;YIL;2
MODEL UÇAK;YAPIŞTIRMAK;PARÇA;SABIR;RAF;KÜÇÜK;2
DRON UÇURMAK;PERVANE;KUMANDA;YÜKSEK;KAMERA;PARK;2
YOYO;İP;PARMAK;AŞAĞI YUKARI;DÖNMEK;OYUNCAK;2
KAYKAY;TAHTA;TEKERLEK;PARK;DENGE;GENÇ;1
PATEN;TEKERLEK;AYAK;KAYMAK;DENGE;PARK;2
BİSİKLETE BİNMEK;PEDAL;DENGE;ZİL;PARK;ÖĞRENMEK;2
YÜRÜYÜŞE ÇIKMAK;PARK;SABAH;ADIM;HAVA;TEMPO;2
KOŞUYA ÇIKMAK;SPOR;SABAH;TER;PARK;AYAKKABI;3
YÜZMEYE GİTMEK;HAVUZ;KULAÇ;GÖZLÜK;SPOR;HAFTA;3
AVCILIK;TÜFEK;ORMAN;MEVSİM;İZİN;SESSİZ;3
OLTA;İP;KANCA;YEM;ATMAK;BEKLEMEK;2
MİSİNA;İNCE;OLTA;ŞEFFAF;SARMAK;KOPMAK;4
KÜREK ÇEKMEK;TEKNE;KOL;SU;İLERİ;RİTİM;3
DAĞ BİSİKLETİ;TOPRAK;ZIPLAMAK;KASK;PATİKA;LASTİK;4
DOĞA FOTOĞRAFI;MANZARA;SABIR;IŞIK;ÇEKMEK;KAMERA;3
PORTRE;YÜZ;RESİM;FOTOĞRAF;ÇİZMEK;BAKIŞ;2
HATIRA KUTUSU;SAKLAMAK;ESKİ;BİLET;FOTOĞRAF;AÇMAK;4
GÜNLÜK TUTMAK;YAZMAK;DEFTER;GECE;GİZLİ;TARİH;3
ŞİİR YAZMAK;DUYGU;DİZE;DEFTER;KAFİYE;GECE;3
KİTAP OKUMAK;SAYFA;SESSİZ;KOLTUK;ÇAY;DALMAK;2
KİTAP KULÜBÜ;TOPLANMAK;TARTIŞMAK;AY;SEÇMEK;OKUMAK;3
DİZİ İZLEMEK;BÖLÜM;KOLTUK;GECE;DEVAM;EKRAN;1
MÜZİK DİNLEMEK;KULAKLIK;ŞARKI;LİSTE;RAHATLAMAK;SES;2
GİTAR ÇALMAK;AKOR;PARMAK;ŞARKI;ÖĞRENMEK;TEL;2
DANS KURSU;ADIM;MÜZİK;EŞ;ÖĞRENMEK;SALON;2
YABANCI DİL KURSU;KELİME;DERS;PRATİK;SEVİYE;ÖĞRENMEK;3
EL İŞİ;YAPMAK;İĞNE;SABIR;GÜZEL;HOBİ;2
