kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
ALFABE;HARF;SIRA;A B C;ÖĞRENMEK;DİL;1
MÜZE;ESER;SERGİ;TARİH;ZİYARET;VİTRİN;2
PUSULA;YÖN;KUZEY;İĞNE;BULMAK;GEZGİN;2
EKVATOR;ORTA;DÜNYA;ÇİZGİ;SICAK;ENLEM;2
MİMAR SİNAN;OSMANLI;CAMİ;SÜLEYMANİYE;USTA;YAPI;2
NOBEL;ÖDÜL;İSVEÇ;BİLİM;BARIŞ;YILLIK;3
ANSİKLOPEDİ;BİLGİ;CİLT;ARAMAK;MADDE;KİTAP;3
MATBAA;GUTENBERG;BASKI;KİTAP;HARF;ÇOĞALTMAK;3
OLİMPOS;YUNAN;TANRI;DAĞ;ZEUS;EFSANE;4
HİYEROGLİF;MISIR;RESİM YAZI;TAŞ;ESKİ;ÇÖZMEK;4
YEDİ HARİKA;LİSTE;ANTİK;YAPI;ÜNLÜ;DÜNYA;4
ASMA BAHÇELER;BABİL;YEDİ HARİKA;EFSANE;YEŞİL;ANTİK;5
RODOS HEYKELİ;DEV;LİMAN;ANTİK;YIKILMAK;YUNAN;5
İSKENDERİYE FENERİ;MISIR;IŞIK;GEMİ;ANTİK;YÜKSEK;5
ARTEMİS TAPINAĞI;EFES;SÜTUN;ANTİK;YIKINTI;YEDİ HARİKA;5
ZEUS HEYKELİ;OLİMPİYAT;ANTİK;YUNAN;TANRI;DEV;5
ZEUS;YUNAN;TANRI;ŞİMŞEK;OLİMPOS;BAŞ;4
POSEİDON;DENİZ;MIZRAK;YUNAN;TANRI;DALGA;4
HADES;YER ALTI;YUNAN;TANRI;KARANLIK;KARDEŞ;5
ATHENA;BİLGELİK;YUNAN;TANRIÇA;BAYKUŞ;MİĞFER;4
APOLLON;GÜNEŞ;MÜZİK;YUNAN;TANRI;LİR;5
HERAKLES;GÜÇ;ON İKİ GÖREV;YUNAN;KAHRAMAN;ASLAN POSTU;4
AKHİLLEUS;TOPUK;TROYA;SAVAŞÇI;YUNAN;ZAYIF NOKTA;4
PANDORA;KUTU;AÇMAK;MERAK;KÖTÜLÜK;UMUT;4
MİNOTOR;LABİRENT;BOĞA;GİRİT;EFSANE;YARI İNSAN;5
İKARUS;KANAT;GÜNEŞ;BALMUMU;DÜŞMEK;EFSANE;4
MEDUSA;YILAN;SAÇ;TAŞ;BAKIŞ;EFSANE;4
KENTAUR;YARI AT;YARI İNSAN;EFSANE;ORMAN;YAY;5
ANKA KUŞU;KÜL;YENİDEN DOĞMAK;EFSANE;ATEŞ;ÖLÜMSÜZ;4
TEK BOYNUZ;AT;ALIN;EFSANE;BEYAZ;MASAL;4
VAMPİR;DİŞ;GECE;SARIMSAK;EFSANE;KAN;3
HAYALET;BEYAZ;GÖRÜNMEZ;KORKU;EV;EFSANE;3
ATLANTİS;BATIK;EFSANE;ŞEHİR;OKYANUS;KAYIP;4
BERMUDA;ÜÇGEN;KAYBOLMAK;GEMİ;GİZEM;OKYANUS;4
STONEHENGE;TAŞ;DAİRE;İNGİLTERE;GİZEM;ANTİK;4
PASKALYA ADASI;HEYKEL;BAŞ;OKYANUS;GİZEM;UZAK;5
NAZCA ÇİZGİLERİ;ÇÖL;YUKARIDAN;ŞEKİL;GİZEM;PERU;5
MACHU PİÇU;İNKA;DAĞ;TAŞ;PERU;KALINTI;5
ANGKOR VAT;TAPINAK;KAMBOÇYA;TAŞ;ORMAN;BÜYÜK;5
PETRA;KAYA;OYULMUŞ;ÜRDÜN;PEMBE;ANTİK;5
MARCO POLO;GEZGİN;ÇİN;İPEK YOLU;VENEDİK;ANLATI;4
VASCO DA GAMA;DENİZCİ;HİNDİSTAN;YOL;PORTEKİZ;KEŞİF;5
JAMES COOK;DENİZCİ;OKYANUS;HARİTA;KEŞİF;İNGİLİZ;5
NEIL ARMSTRONG;AY;İLK ADIM;ASTRONOT;AMERİKA;İZ;4
YURİ GAGARİN;UZAY;İLK;RUS;YÖRÜNGE;ASTRONOT;4
LAİKA;KÖPEK;UZAY;İLK;RUS;YOLCULUK;5
WRIGHT KARDEŞLER;UÇAK;İLK UÇUŞ;İCAT;AMERİKA;KANAT;4
GRAHAM BELL;TELEFON;İCAT;SES;İLK;KONUŞMA;4
LEONARDO DA VİNCİ;MONA LİSA;RESSAM;MUCİT;İTALYAN;DEFTER;3
MİCHELANGELO;HEYKEL;TAVAN;DAVUT;İTALYAN;SANATÇI;4
VAN GOGH;KULAK;YILDIZLI GECE;RESSAM;HOLLANDA;SARI;3
PİCASSO;KÜBİZM;RESSAM;İSPANYA;GARİP;YÜZ;3
SALVADOR DALİ;BIYIK;ERİYEN SAAT;RESSAM;GERÇEKÜSTÜ;İSPANYA;4
MONET;IŞIK;NİLÜFER;RESSAM;FRANSA;İZLENİM;5
FRİDA KAHLO;KAŞ;MEKSİKA;RESSAM;KADIN;KENDİ PORTRE;4
OSMAN HAMDİ BEY;KAPLUMBAĞA;RESSAM;MÜZE;TABLO;TERBİYECİ;4
SANAT ESERİ;DEĞERLİ;MÜZE;KORUMAK;YARATMAK;SERGİ;3
MÜZAYEDE;AÇIK ARTIRMA;TOKMAK;SATIŞ;FİYAT;TABLO;4
SERGİ;ESER;DUVAR;ZİYARET;AÇILIŞ;SALON;3
FELSEFE;DÜŞÜNMEK;SORU;VARLIK;ANLAM;DÜŞÜNÜR;3
MANTIK;AKIL;ÇIKARIM;DOĞRU;KURAL;DÜŞÜNMEK;4
ETİK;AHLAK;DOĞRU;YANLIŞ;DEĞER;SORGULAMAK;4
DEMOKRİTOS;ATOM;YUNAN;DÜŞÜNÜR;BÖLÜNMEZ;İLK;5
DESCARTES;DÜŞÜNÜYORUM;FRANSA;FELSEFE;ŞÜPHE;AKIL;5
KANT;ALMAN;FELSEFE;AHLAK;AKIL;DÜŞÜNÜR;5
NİETZSCHE;ALMAN;FELSEFE;BIYIK;DÜŞÜNÜR;ELEŞTİRİ;5
FARABİ;İSLAM;FELSEFE;MÜZİK;İKİNCİ HOCA;DÜŞÜNÜR;5
İBNİ HALDUN;TARİH;TOPLUM;MUKADDİME;DÜŞÜNÜR;İSLAM;5
BİRUNİ;ÂLİM;ASTRONOMİ;ÖLÇÜM;İSLAM;DÜNYA;5
HAREZMİ;ALGORİTMA;MATEMATİK;İSLAM;CEBİR;ÂLİM;5
CEBİR;MATEMATİK;BİLİNMEYEN;DENKLEM;HARF;İŞLEM;4
GEOMETRİ;ŞEKİL;AÇI;ÜÇGEN;ÖLÇÜ;MATEMATİK;3
PİSAGOR;ÜÇGEN;TEOREM;YUNAN;MATEMATİK;DİK;4
EUKLİD;GEOMETRİ;YUNAN;ELEMANLAR;NOKTA;MATEMATİK;5
Pİ SAYISI;DAİRE;ÜÇ VİRGÜL;SONSUZ;MATEMATİK;ÇEVRE;4
SIFIR;YOK;RAKAM;İCAT;HİNT;BOŞ;3
RAKAM;SAYI;YAZMAK;ON TANE;HESAP;SEMBOL;3
ROMEN RAKAMI;HARF;SAAT;ESKİ;YAZMAK;SIRA;4
KESİR;BÖLÜM;PAY;PAYDA;MATEMATİK;YARIM;4
YÜZDE;ORAN;İŞARET;HESAP;İNDİRİM;YÜZ;3
ÇARPIM TABLOSU;EZBER;OKUL;SAYI;HESAP;ÖĞRENMEK;3
ABAKÜS;BONCUK;SAYMAK;ÇUBUK;ESKİ;HESAP;5
MİLADİ TAKVİM;GÜNEŞ;OCAK;ARALIK;YIL;GÜN;4
ARTIK YIL;ŞUBAT;YİRMİ DOKUZ;DÖRT YIL;GÜN;TAKVİM;4
HAFTANIN GÜNLERİ;PAZARTESİ;YEDİ;SIRA;İSİM;TAKVİM;2
AY İSİMLERİ;OCAK;ŞUBAT;ON İKİ;YIL;SIRA;3
METRİK SİSTEM;ÖLÇÜ;UZUNLUK;GRAM;ONLUK;STANDART;5
ALFABE SIRASI;HARF;DİZMEK;SÖZLÜK;BULMAK;DÜZEN;3
LATİN ALFABESİ;HARF;BATI;YAZI;KULLANMAK;TÜRKÇE;4
