kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
NOTA;DO RE Mİ;YAZMAK;PORTE;SES;MÜZİK;1
DAVUL;VURMAK;TOKMAK;RAMAZAN;GÜRÜLTÜ;ZURNA;1
BAĞLAMA;TEL;MIZRAP;HALK;SAZ;ÇALMAK;1
KORO;TOPLU;SÖYLEMEK;ŞEF;SES;GRUP;2
ZURNA;DAVUL;DÜĞÜN;ÜFLEMEK;TİZ;HALK;1
ARABESK;ACI;TÜRK;MÜSLÜM;DUYGU;TÜR;2
SENFONİ;ORKESTRA;BÜYÜK;BEETHOVEN;KLASİK;ESER;2
TEMPO;HIZ;RİTİM;TUTMAK;VURUŞ;MÜZİK;3
AKORT;AYAR;TEL;GERMEK;DOĞRU SES;GİTAR;2
NEY;ÜFLEMEK;KAMIŞ;MEVLEVİ;TASAVVUF;SES;2
GİTAR;TEL;ÇALMAK;AKOR;SAP;PENA;1
PİYANO;TUŞ;SİYAH BEYAZ;PARMAK;BÜYÜK;ÇALMAK;1
KEMAN;YAY;TEL;OMUZ;ÇENE;İNCE SES;1
VİYOLONSEL;YAY;BÜYÜK;OTURMAK;KALIN SES;TEL;3
KONTRBAS;EN BÜYÜK;AYAKTA;KALIN;YAY;TEL;4
FLÜT;ÜFLEMEK;METAL;İNCE;YAN;DELİK;2
KLARNET;ÜFLEMEK;SİYAH;DELİK;ORKESTRA;NEFES;3
TROMPET;ÜFLEMEK;PARLAK;PİSTON;BANDO;YÜKSEK;2
SAKSOFON;ÜFLEMEK;CAZ;PARLAK;KIVRIK;NEFES;2
TROMBON;ÜFLEMEK;İTMEK;UZUN;BANDO;METAL;4
ARP;TEL;BÜYÜK;PARMAK;ÜÇGEN;ÇEKMEK;2
ORG;TUŞ;ELEKTRONİK;SES;ÇALMAK;PEDAL;2
AKORDEON;KÖRÜK;ÇEKMEK;TUŞ;GÖĞÜS;ÇALMAK;3
MIZIKA;AĞIZ;ÜFLEMEK;KÜÇÜK;CEP;NEFES;2
UD;TEL;ARMUT;SAP;TÜRK;MIZRAP;2
KANUN;TEL;MIZRAP;DİZ;YATAY;TÜRK;3
KEMENÇE;KARADENİZ;YAY;KÜÇÜK;HORON;TEL;2
TULUM;KARADENİZ;ÜFLEMEK;DERİ;HAVA;OYUN;3
DARBUKA;DERİ;VURMAK;RİTİM;EL;DÜĞÜN;1
DEF;DERİ;ZİL;YUVARLAK;VURMAK;EL;1
BENDİR;DERİ;BÜYÜK;VURMAK;TASAVVUF;RİTİM;4
KUDÜM;İKİ;KÜÇÜK;VURMAK;MEVLEVİ;RİTİM;3
KAVAL;ÜFLEMEK;ÇOBAN;AHŞAP;DELİK;KÖY;2
SİPSİ;ÜFLEMEK;KÜÇÜK;İNCE;YÖRE;SES;4
CÜMBÜŞ;TEL;YUVARLAK;METAL;GÖVDE;ÇALMAK;4
SAZ;TEL;ÂŞIK;ÇALMAK;AHŞAP;HALK;1
MIZRAP;ÇALMAK;TEL;TUTMAK;KÜÇÜK;PARÇA;3
PENA;GİTAR;TUTMAK;KÜÇÜK;PLASTİK;VURMAK;2
TEL;GERGİN;TİTREŞİM;SES;METAL;KOPMAK;1
TUŞ;BASMAK;PİYANO;PARMAK;SES;SIRA;1
MELODİ;EZGİ;AKILDA;SES;DİZİ;MIRILDANMAK;2
RİTİM;VURUŞ;TEKRAR;AYAK;TEMPO;DAVUL;1
ARMONİ;UYUM;BİRLİKTE;SES;KATMAN;GÜZEL;3
OKTAV;SEKİZ;SES;ARALIK;PİYANO;YÜKSEK;3
DO RE Mİ;NOTA;SIRA;SÖYLEMEK;ÖĞRENMEK;SES;2
PORTE;BEŞ ÇİZGİ;NOTA;YAZMAK;KÂĞIT;OKUMAK;3
DİYEZ;YARIM;YÜKSELTMEK;NOTA;İŞARET;SES;3
BEMOL;YARIM;ALÇALTMAK;NOTA;İŞARET;SES;3
NAKARAT;TEKRAR;ŞARKI;BÖLÜM;AKILDA;SÖYLEMEK;2
SÖZ YAZARI;ŞARKI;YAZMAK;ANLAM;BESTE;İSİM;2
BESTECİ;YAPMAK;MELODİ;NOTA;ESER;MÜZİK;2
BESTE;MELODİ;YAPMAK;SÖZ;ŞARKI;YENİ;2
ARANJMAN;DÜZENLEME;ÇALGI;YENİDEN;KAYIT;STÜDYO;4
ORKESTRA;ÇOK ÇALGI;ŞEF;SAHNE;SENFONİ;TOPLULUK;1
ORKESTRA ŞEFİ;DEĞNEK;ÖNDE;İŞARET;YÖNETMEK;SAHNE;2
SOLİST;TEK;ÖNDE;SES;ŞARKI;SAHNE;2
DÜET;İKİ KİŞİ;BİRLİKTE;ŞARKI;SÖYLEMEK;SES;2
GRUP;ÜYE;BİRLİKTE;ÇALMAK;İSİM;SAHNE;2
KONSER;SAHNE;BİLET;KALABALIK;CANLI;ALKIŞ;1
SAHNE ALMAK;ÇIKMAK;KONSER;SEYİRCİ;IŞIK;BAŞLAMAK;2
STÜDYO KAYDI;MİKROFON;KULAKLIK;TEKRAR;ALBÜM;SES;3
ŞARKI SÖZÜ;YAZMAK;ANLAM;EZBER;NAKARAT;OKUMAK;2
KLİP;GÖRÜNTÜ;ŞARKI;ÇEKİM;İZLEMEK;YAYIN;2
TEKLİ;ŞARKI;ÇIKARMAK;ALBÜM DEĞİL;YENİ;YAYIN;3
PLAK;YUVARLAK;SİYAH;İĞNE;DÖNMEK;ESKİ;2
