kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
BAVUL;EŞYA;TOPLAMAK;TEKERLEK;TATİL;AĞIR;1
PASAPORT;YURT DIŞI;KİMLİK;DAMGA;SINIR;ALMAK;2
HAVAALANI;UÇAK;PİST;BAGAJ;KALKIŞ;TERMİNAL;2
REZERVASYON;OTEL;YER;AYIRTMAK;ÖNCEDEN;TARİH;2
VİZE;İZİN;ÜLKE;BAŞVURU;KONSOLOSLUK;PASAPORT;2
REHBER;GEZDİRMEK;ANLATMAK;TURİST;GRUP;BAYRAK;2
KAMP;ÇADIR;DOĞA;ATEŞ;UYKU TULUMU;ORMAN;2
KONAKLAMA;OTEL;GECE;KALMAK;PANSİYON;TATİL;3
GÜMRÜK;SINIR;KONTROL;BEYAN;VERGİ;ÇANTA;3
TRANSFER;AKTARMA;UÇAK;BEKLEMEK;HAVAALANI;İKİNCİ;4
OTEL;ODA;RESEPSİYON;YILDIZ;KAHVALTI;TATİL;1
PANSİYON;KÜÇÜK;AİLE;UCUZ;ODA;SAMİMİ;3
HOSTEL;GENÇ;ORTAK ODA;UCUZ;SIRT ÇANTASI;YURT DIŞI;4
APART;MUTFAK;ODA;KİRALAMAK;TATİL;UZUN;4
HER ŞEY DÂHİL;OTEL;YEMEK;İÇECEK;TEK FİYAT;TATİL;3
YARIM PANSİYON;KAHVALTI;AKŞAM;OTEL;ÖĞLE YOK;PLAN;4
ODA KAHVALTI;OTEL;SABAH;BÜFE;FİYAT;SEÇENEK;4
RESEPSİYON;GİRİŞ;ANAHTAR;KAYIT;OTEL;BANKO;3
GİRİŞ SAATİ;OTEL;ÖĞLEDEN SONRA;ODA;BEKLEMEK;KAYIT;4
ÇIKIŞ SAATİ;OTEL;ODA;BOŞALTMAK;ÖĞLE;BAVUL;4
ODA SERVİSİ;TELEFON;YEMEK;GETİRMEK;OTEL;TEPSİ;3
MİNİBAR;KÜÇÜK;İÇECEK;ODA;ÜCRETLİ;BUZDOLABI;4
HAVUZ BAŞI;ŞEZLONG;GÜNEŞ;OTEL;SERİN;YÜZMEK;2
ŞEZLONG;UZANMAK;PLAJ;HAVLU;GÜNEŞ;YAN YANA;3
GÜNEŞ ŞEMSİYESİ;GÖLGE;PLAJ;KUM;AÇMAK;YAZ;3
SAHİL;DENİZ;KUM;YÜRÜYÜŞ;GÜN BATIMI;TATİL;2
KOY;KÜÇÜK;DENİZ;TEKNE;SAKİN;GİRİNTİ;3
TEKNE TURU;KOY;YÜZMEK;GÜN;KAPTAN;YEMEK;3
YAT;LÜKS;DENİZ;BEYAZ;GEZMEK;KAPTAN;3
VAPUR İSKELESİ;BEKLEMEK;JETON;DENİZ;BİNMEK;MARTI;3
MARTI;DENİZ;BEYAZ;SES;VAPUR;SİMİT;2
GEMİ TURU;KAMARA;OKYANUS;LÜKS;GÜN;LİMAN;4
KAMARA;GEMİ;KÜÇÜK;YATAK;PENCERE;ODA;4
UÇUŞ;SAAT;KALKIŞ;İNİŞ;BİLET;YOLCU;2
KALKIŞ;PİST;HIZLANMAK;YÜKSELMEK;UÇAK;SAAT;3
İNİŞ;PİST;TEKERLEK;ALKIŞ;UÇAK;YAVAŞLAMAK;3
RÖTAR;GECİKME;BEKLEMEK;UÇAK;ANONS;SİNİR;3
AKTARMA;İKİNCİ;UÇAK;BEKLEMEK;ŞEHİR;BİLET;3
TRANSİT;GEÇİŞ;BEKLEMEK;SALON;UÇAK;YOLCU;4
BİNİŞ KARTI;UÇAK;KOLTUK;NUMARA;KAPI;OKUTMAK;3
BAGAJ TESLİMİ;KANTAR;KİLO;BANT;ETİKET;UÇUŞ;3
EL BAGAJI;KÜÇÜK;KABİN;ÜST;SIVI;YANIMIZDA;3
BAGAJ BANDI;DÖNMEK;BEKLEMEK;VALİZ;ALMAK;VARIŞ;3
PASAPORT KONTROLÜ;SIRA;DAMGA;GÖREVLİ;GEÇİŞ;BELGE;3
DAMGA;PASAPORT;BASMAK;GİRİŞ;TARİH;MÜREKKEP;4
VİZE BAŞVURUSU;KONSOLOSLUK;BELGE;RANDEVU;ÜCRET;BEKLEMEK;4
KONSOLOSLUK;ÜLKE;TEMSİL;VİZE;BAŞVURU;RESMİ;5
BÜYÜKELÇİLİK;ÜLKE;TEMSİL;BAŞKENT;RESMİ;BAYRAK;4
GÜMRÜKSÜZ SATIŞ;HAVAALANI;PARFÜM;ÇİKOLATA;UCUZ;MAĞAZA;4
GİDİŞ DÖNÜŞ;BİLET;İKİ YÖN;UCUZ;TARİH;ALMAK;3
TEK YÖN;BİLET;GİTMEK;DÖNMEMEK;PLAN;SEÇENEK;4
UÇAK BİLETİ;FİYAT;TARİH;İSİM;ALMAK;İNTERNET;2
ERKEN REZERVASYON;UCUZ;PLAN;AYLAR ÖNCE;TATİL;İNDİRİM;4
TUR ŞİRKETİ;PROGRAM;OTOBÜS;REHBER;PAKET;GEZİ;3
TUR PROGRAMI;GÜN;ŞEHİR;PLAN;LİSTE;GEZMEK;3
GEZİ ROTASI;PLAN;HARİTA;DURAK;SIRA;ÇİZMEK;4
GÜNÜBİRLİK;SABAH;AKŞAM;DÖNMEK;KISA;GEZİ;4
YOL ARKADAŞI;BİRLİKTE;SOHBET;SEYAHAT;PAYLAŞMAK;UZUN;3
SIRT ÇANTASI;TAŞIMAK;OMUZ;GEZGİN;HAFİF;DOLDURMAK;3
GEZGİN;YOLCULUK;ÜLKE;MERAK;ANLATMAK;ÇANTA;3
TURİST;YABANCI;FOTOĞRAF;HARİTA;GEZMEK;REHBER;2
TURİSTİK YER;ÜNLÜ;ZİYARET;KALABALIK;FOTOĞRAF;TABELA;3
HATIRA EŞYASI;ALMAK;KÜÇÜK;HEDİYE;GEZİ;MAGNET;3
MAGNET;BUZDOLABI;KÜÇÜK;YAPIŞMAK;HATIRA;ŞEHİR;3
KARTPOSTAL;RESİM;YAZMAK;PUL;GÖNDERMEK;GEZİ;3
SEYAHAT SİGORTASI;YURT DIŞI;SAĞLIK;KAPSAM;ÜCRET;GÜVENCE;4
YOL HARİTASI;KATLI;ARABA;BAKMAK;KÂĞIT;YÖN;3
DİNLENME TESİSİ;YOL;ÇAY;TUVALET;MOLA;OTOYOL;3
MOLA VERMEK;YOL;DURMAK;BACAK;ÇAY;DEVAM;3
YOL YEMEĞİ;SANDVİÇ;TERMOS;ARABA;HAZIRLAMAK;ANNE;3
ARAÇ KİRALAMA;EHLİYET;GÜN;TESLİM;YAKIT;SÖZLEŞME;3
OTOBÜS TERMİNALİ;PERON;BİLET;BAGAJ;ANONS;KALKIŞ;3
PERON;BEKLEMEK;NUMARA;OTOBÜS;TREN;ÇIKMAK;3
MUAVİN;OTOBÜS;KOLONYA;İKRAM;SERVİS;YARDIM;3
YOL ÜCRETİ;ÖDEME;BİLET;MESAFE;ARTMAK;GİŞE;4
