kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
SENARYO;YAZMAK;METİN;REPLİK;HİKÂYE;YAZAR;1
FRAGMAN;TANITIM;KISA;YAKINDA;İZLEMEK;REKLAM;1
YEŞİLÇAM;TÜRK;ESKİ FİLM;SİYAH BEYAZ;SİNEMA;DÖNEM;2
JENERİK;İSİMLER;BAŞLANGIÇ;SON;MÜZİK;AKMAK;2
DUBLÖR;TEHLİKE;SAHNE;OYUNCU;YERİNE;ATLAMAK;2
GİŞE;BİLET;HASILAT;SATMAK;REKOR;SALON;2
KLAKET;ÇEKİM;BAŞLA;SES;TAHTA;ÇARPMAK;3
FİLM;İZLEMEK;PERDE;SÜRE;OYUNCU;KONU;1
YÖNETMEN;ÇEKMEK;KAMERA;KOLTUK;KARAR;FİLM;1
YAPIMCI;PARA;PROJE;DESTEK;FİLM;ÜRETMEK;2
OYUNCU;ROL;SAHNE;KAMERA;OYNAMAK;ÜNLÜ;1
BAŞROL;ANA;OYUNCU;FİLM;AFİŞ;ÖNDE;2
YAN ROL;DESTEK;OYUNCU;AZ;SAHNE;FİLM;3
FİGÜRAN;ARKA;KALABALIK;KONUŞMAZ;SAHNE;ÇEKİM;3
KAMERAMAN;ÇEKMEK;OMUZ;GÖRÜNTÜ;SET;AÇI;2
SET;ÇEKİM;MEKÂN;EKİP;KURMAK;FİLM;1
ÇEKİM;KAMERA;KAYIT;SAHNE;TEKRAR;BAŞLAMAK;2
KURGU;KESMEK;BİRLEŞTİRMEK;SIRA;MASA;FİLM;2
MONTAJ;KURGU;PARÇA;BİRLEŞTİRMEK;SES;GÖRÜNTÜ;3
SES BANDI;MÜZİK;FİLM;ARKA;DUYGU;ALBÜM;3
FİLM MÜZİĞİ;BESTE;SAHNE;DUYGU;HATIRLAMAK;ORKESTRA;2
EFEKT;GÖRSEL;BİLGİSAYAR;PATLAMA;GERÇEK DEĞİL;EKLEMEK;2
YEŞİL PERDE;ARKA;DEĞİŞTİRMEK;EFEKT;ÇEKİM;BİLGİSAYAR;3
MAKYAJ;YÜZ;FIRÇA;OYUNCU;DEĞİŞTİRMEK;SET;2
GALA;İLK;GÖSTERİM;KIRMIZI HALI;OYUNCU;DAVET;1
KIRMIZI HALI;GALA;YÜRÜMEK;FOTOĞRAF;ÜNLÜ;POZ;2
VİZYON;SİNEMA;GÖSTERİM;YENİ;TARİH;ÇIKMAK;3
SALON;KOLTUK;PERDE;KARANLIK;SIRA;SİNEMA;1
PATLAMIŞ MISIR;KOVA;SİNEMA;TUZLU;ÇITIRTI;İZLERKEN;1
ALTYAZI;ALTTA;YAZI;ÇEVİRİ;OKUMAK;YABANCI;2
DUBLAJ;SES;ÇEVİRİ;OYUNCU;TÜRKÇE;KONUŞTURMAK;2
SESLENDİRME;SES;VERMEK;ÇİZGİ FİLM;STÜDYO;OYUNCU;2
ÇİZGİ FİLM;ÇOCUK;RENKLİ;KAHRAMAN;İZLEMEK;ÇİZİM;1
STÜDYO;ÇEKİM;KAPALI;IŞIK;SES;YAPIM;2
IŞIKÇI;LAMBA;SET;AYARLAMAK;GÖLGE;EKİP;3
SES TEKNİSYENİ;MİKROFON;KAYIT;SET;GÜRÜLTÜ;EKİP;5
SENARİST;YAZMAK;HİKÂYE;DİYALOG;FİLM;MASA;2
ROL DAĞITIMI;SEÇMEK;OYUNCU;DENEME;YÖNETMEN;KARAR;3
SEÇME;DENEME;OYUNCU;ROL;GELMEK;KABUL;3
PROVA;DENEME;ÖNCE;TEKRAR;SAHNE;HAZIRLIK;2
TEKRAR ÇEKİM;OLMADI;YENİDEN;SAHNE;YÖNETMEN;SABIR;3
KAMERA ARKASI;GÖRÜNTÜ;EKİP;HAZIRLIK;ÇEKİM;İZLEMEK;2
FESTİVAL;ÖDÜL;FİLM;GÖSTERİM;YARIŞMA;ŞEHİR;2
ALTIN PORTAKAL;ANTALYA;ÖDÜL;FİLM;FESTİVAL;TÖREN;2
OSCAR;ÖDÜL;HEYKELCİK;AMERİKA;FİLM;TÖREN;1
ALTIN PALMİYE;CANNES;ÖDÜL;FESTİVAL;FRANSA;FİLM;3
KEMAL SUNAL;GÜLDÜRÜ;ŞABAN;YEŞİLÇAM;OYUNCU;FİLM;1
ŞABAN;KEMAL SUNAL;SAF;KOMİK;KARAKTER;FİLM;2
TÜRKAN ŞORAY;YEŞİLÇAM;SULTAN;OYUNCU;FİLM;KADIN;2
KADİR İNANIR;YEŞİLÇAM;OYUNCU;ROMANTİK;FİLM;ERKEK;3
TARIK AKAN;YEŞİLÇAM;OYUNCU;FİLM;YAKIŞIKLI;SOSYAL;3
ADİLE NAŞİT;GÜLÜŞ;OYUNCU;ANNE;YEŞİLÇAM;ÇOCUK;3
MÜNİR ÖZKUL;OYUNCU;BABA;YEŞİLÇAM;GÜLDÜRÜ;AİLE;3
ŞENER ŞEN;OYUNCU;GÜLDÜRÜ;EŞKIYA;FİLM;USTA;2
EŞKIYA;FİLM;BARAN;İSTANBUL;YILMAZ ERDOĞAN;KADER;3
YILMAZ ERDOĞAN;VİZONTELE;OYUNCU;YÖNETMEN;HAKKÂRİ;GÜLDÜRÜ;2
VİZONTELE;TELEVİZYON;KASABA;FİLM;GÜLDÜRÜ;İLK;3
GORA;UZAY;GÜLDÜRÜ;CEM YILMAZ;FİLM;ARİF;1
CEM YILMAZ;GÜLDÜRÜ;SAHNE;FİLM;ÇİZİM;KOMEDYEN;1
AYLA;FİLM;KORE;ASKER;KIZ;GERÇEK;2
BABAM VE OĞLUM;FİLM;AİLE;DUYGU;AĞLAMAK;TORUN;2
MUHTEŞEM YÜZYIL;DİZİ;OSMANLI;SARAY;HÜRREM;TARİH;2
DİRİLİŞ ERTUĞRUL;DİZİ;TARİH;ÇADIR;KAYI;ALP;2
KURTLAR VADİSİ;DİZİ;POLAT;AKSİYON;MAFYA;İZLEMEK;2
AŞK I MEMNU;DİZİ;YASAK;AŞK;KONAK;ROMAN;2
AVRUPA YAKASI;DİZİ;GÜLDÜRÜ;İSTANBUL;OFİS;KARAKTER;3
ÇOCUKLAR DUYMASIN;DİZİ;AİLE;GÜLDÜRÜ;HALUK;MERAL;2
BİR DEMET TİYATRO;DİZİ;GÜLDÜRÜ;APARTMAN;KOMŞU;KARAKTER;3
PERİHAN ABLA;DİZİ;MAHALLE;ESKİ;GÜLDÜRÜ;SOKAK;4
DİZİ;BÖLÜM;HAFTA;İZLEMEK;SEZON;TELEVİZYON;1
SEZON;BÖLÜM;DİZİ;BİTMEK;YENİ;BEKLEMEK;2
FİNAL;SON;BÖLÜM;DİZİ;MERAK;BİTİŞ;2
YAYIN AKIŞI;SAAT;KANAL;PROGRAM;SIRA;TELEVİZYON;3
REYTİNG;İZLENME;ÖLÇÜM;SAYI;KANAL;YARIŞ;3
