kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
PENALTI;FUTBOL;CEZA;NOKTA;VURUŞ;KALECİ;1
HAKEM;DÜDÜK;KART;MAÇ;KARAR;ORTA;2
OLİMPİYAT;DÖRT YIL;HALKA;MADALYA;DÜNYA;YARIŞ;2
SMAÇ;VOLEYBOL;FİLE;VURMAK;YUKARIDAN;SAYI;2
ANTRENMAN;ÇALIŞMAK;HAZIRLIK;SAHA;KOÇ;TER;2
MARATON;42 KM;KOŞU;UZUN;YARIŞ;DAYANIKLILIK;2
ŞAMPİYONA;KUPA;BİRİNCİ;TURNUVA;YARIŞMA;FİNAL;2
FORVET;FUTBOL;GOL;İLERİ;OYUNCU;HÜCUM;3
OFSAYT;FUTBOL;BAYRAK;GEÇMEK;KURAL;GOL İPTAL;3
RÖVANŞ;İKİNCİ MAÇ;KARŞILAŞMA;İNTİKAM;ELEME;DEPLASMAN;4
