kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
GALATASARAY;SARI KIRMIZI;ASLAN;İSTANBUL;CİMBOM;FUTBOL;1
FENERBAHÇE;SARI LACİVERT;KANARYA;KADIKÖY;İSTANBUL;FUTBOL;2
BEŞİKTAŞ;SİYAH BEYAZ;KARTAL;İSTANBUL;ÇARŞI;FUTBOL;2
TRABZONSPOR;BORDO MAVİ;KARADENİZ;FIRTINA;ŞAMPİYON;KULÜP;2
MİLLİ TAKIM;AY YILDIZ;FORMA;ÜLKE;MAÇ;TEMSİL;2
ARDA GÜLER;GENÇ;FUTBOL;REAL MADRİD;FENERBAHÇE;MİLLİ;2
NAİM SÜLEYMANOĞLU;HALTER;CEP HERKÜLÜ;OLİMPİYAT;ALTIN;KÜÇÜK;3
MESUT ÖZİL;FUTBOL;ALMANYA;ORTA SAHA;ARSENAL;TÜRK;3
ANADOLU EFES;BASKETBOL;EUROLEAGUE;İSTANBUL;ŞAMPİYON;TAKIM;3
HAMİT ALTINTOP;FUTBOL;ORTA SAHA;MİLLİ;İKİZ;GOL;5
BAŞAKŞEHİR;İSTANBUL;TURUNCU;LACİVERT;KULÜP;LİG;3
SİVASSPOR;KIRMIZI;BEYAZ;ANADOLU;KULÜP;İÇ ANADOLU;4
KONYASPOR;YEŞİL;BEYAZ;ANADOLU;KULÜP;OVA;4
ALANYASPOR;TURUNCU;YEŞİL;AKDENİZ;KULÜP;TATİL;4
ANTALYASPOR;KIRMIZI;BEYAZ;AKDENİZ;KULÜP;TURİZM;4
KAYSERİSPOR;SARI;KIRMIZI;ANADOLU;KULÜP;PASTIRMA;4
RİZESPOR;YEŞİL;MAVİ;KARADENİZ;KULÜP;ÇAY;4
SAMSUNSPOR;KIRMIZI;BEYAZ;KARADENİZ;KULÜP;LİMAN;4
GÖZTEPE;İZMİR;SARI;KIRMIZI;EGE;KULÜP;4
BURSASPOR;YEŞİL;BEYAZ;TİMSAH;KULÜP;ULUDAĞ;3
GENÇLERBİRLİĞİ;ANKARA;KIRMIZI;SİYAH;KULÜP;LİG;4
ANKARAGÜCÜ;SARI;LACİVERT;ESKİ;KULÜP;BAŞKENT;4
KASIMPAŞA;İSTANBUL;LACİVERT;BEYAZ;SEMT;KULÜP;5
ADANA DEMİRSPOR;LACİVERT;KULÜP;GÜNEY;LİG;ÇUKUROVA;4
EYÜPSPOR;İSTANBUL;MOR;SARI;SEMT;KULÜP;5
KARA KARTAL;BEŞİKTAŞ;LAKAP;SİYAH;KUŞ;TARAFTAR;3
BORDO MAVİ;TRABZONSPOR;RENK;FORMA;KARADENİZ;TARAFTAR;3
SARI KIRMIZI;GALATASARAY;FORMA;RENK;TARAFTAR;ARMA;3
SARI LACİVERT;FENERBAHÇE;FORMA;RENK;TARAFTAR;ARMA;3
FATİH TERİM;İMPARATOR;HOCA;GALATASARAY;MİLLİ;ŞAMPİYON;3
ŞENOL GÜNEŞ;KALECİ;HOCA;MİLLİ;ÜÇÜNCÜLÜK;TRABZON;4
HAKAN ŞÜKÜR;GOL;MİLLİ;ON BİR SANİYE;FORVET;REKOR;3
RÜŞTÜ REÇBER;KALECİ;MİLLİ;BOYA;KURTARIŞ;İKİ BİN İKİ;4
EMRE BELÖZOĞLU;ORTA SAHA;MİLLİ;PAS;SERT;FENERBAHÇE;4
TUNCAY ŞANLI;FORVET;MİLLİ;GOL;TRABZON;İNGİLTERE;5
NİHAT KAHVECİ;GOL;İSPANYA;MİLLİ;FORVET;İKİ BİN İKİ;5
SERGEN YALÇIN;YETENEK;BEŞİKTAŞ;OYUNCU;HOCA;GOL;4
ALEX DE SOUZA;BREZİLYA;FENERBAHÇE;KAPTAN;PAS;EFSANE;4
METİN OKTAY;TAÇSIZ KRAL;GALATASARAY;GOL;EFSANE;ESKİ;4
LEFTER;FENERBAHÇE;ORDİNARYÜS;EFSANE;GOL;ESKİ;5
TANJU ÇOLAK;GOL KRALI;GALATASARAY;ALTIN AYAKKABI;FORVET;ESKİ;5
BURAK YILMAZ;FORVET;MİLLİ;GOL;KAPTAN;TRABZON;3
HAKAN ÇALHANOĞLU;ORTA SAHA;FRİKİK;MİLLİ;İTALYA;KAPTAN;3
MERİH DEMİRAL;STOPER;MİLLİ;KAFA;SAVUNMA;GOL;4
ÇAĞLAR SÖYÜNCÜ;STOPER;MİLLİ;SAVUNMA;İNGİLTERE;OYUNCU;5
KENAN YILDIZ;GENÇ;İTALYA;MİLLİ;YETENEK;FORVET;4
