kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
PADİŞAH;OSMANLI;TAHT;SULTAN;SARAY;YÖNETMEK;1
MUMYA;MISIR;FİRAVUN;SARGI;CESET;PİRAMİT;2
FETİH;1453;İSTANBUL;FATİH;SURLAR;ALMAK;1
KURTULUŞ SAVAŞI;ATATÜRK;İŞGAL;ZAFER;MİLLİ;DÜŞMAN;1
MALAZGİRT;1071;ALPARSLAN;ANADOLU;SAVAŞ;BİZANS;2
İPEK YOLU;TİCARET;ÇİN;KERVAN;DOĞU;BATI;2
RÖNESANS;AVRUPA;YENİDEN;SANAT;DOĞUŞ;İTALYA;3
SÜRGÜN;ZORLA;GÖNDERMEK;VATAN;CEZA;UZAK;3
ÇİVİ YAZISI;SÜMER;KİL;TABLET;İLK;YAZI;3
LONCA;ESNAF;OSMANLI;ZANAAT;ÇIRAK;BİRLİK;4
OSMANLI;İMPARATORLUK;PADİŞAH;ALTI YÜZ YIL;İSTANBUL;DEVLET;1
SELÇUKLU;ANADOLU;DEVLET;ÇİFT BAŞLI;KONYA;TÜRK;2
BEYLİK;KÜÇÜK;ANADOLU;DEVLETÇİK;DÖNEM;BÖLÜNMEK;3
YENİÇERİ;ASKER;OCAK;KAZAN;PADİŞAH;DEVŞİRME;2
SİPAHİ;ATLI;ASKER;TIMAR;OSMANLI;SAVAŞ;3
TIMAR;TOPRAK;GELİR;ASKER;VERMEK;SİSTEM;4
TUĞRA;İMZA;PADİŞAH;SÜSLÜ;BELGE;SEMBOL;3
FERMAN;EMİR;PADİŞAH;YAZILI;OKUMAK;BUYRUK;2
ŞEHZADE;OĞUL;PADİŞAH;SANCAK;EĞİTİM;TAHT;3
TOPKAPI SARAYI;İSTANBUL;PADİŞAH;MÜZE;AVLU;HAZİNE;2
SADRAZAM;VEZİR;BAŞ;PADİŞAH;MÜHÜR;YÖNETİM;3
KADI;YARGIÇ;OSMANLI;KARAR;ADALET;MAHKEME;2
MEDRESE;OKUL;İLİM;OSMANLI;HOCA;AVLU;2
VAKIF;BAĞIŞ;HAYIR;KURMAK;GELİR;HİZMET;3
KERVANSARAY;YOL;KONAKLAMA;TÜCCAR;DEVE;ÜCRETSİZ;2
BEDESTEN;ÇARŞI;KAPALI;TİCARET;KUBBE;ESNAF;4
KANUNİ;SULTAN;MUHTEŞEM;OSMANLI;ZİRVE;YASA;2
YAVUZ SELİM;PADİŞAH;MISIR;HALİFELİK;SERT;SEFER;3
FATİH SULTAN;İSTANBUL;SURLAR;GEMİ;GENÇ;TOP;2
OSMAN GAZİ;KURUCU;BEY;RÜYA;SÖĞÜT;DEVLET;3
BARBAROS;DENİZ;KAPTAN;PREVEZE;AKDENİZ;GEMİ;2
PREVEZE;DENİZ;ZAFER;OSMANLI;SAVAŞ;AKDENİZ;4
