kelime;yasakli1;yasakli2;yasakli3;yasakli4;yasakli5;zorluk
BAYRAM;ŞEKER;ZİYARET;HARÇLIK;EL ÖPMEK;TATİL;2
NAZAR BONCUĞU;MAVİ;KÖTÜ BAKIŞ;CAM;ASMAK;GÖZ;2
KINA GECESİ;GELİN;KIRMIZI;ELLER;TÜRKÜ;DÜĞÜN;2
HALI;DOKUMA;DÜĞÜM;YER;MOTİF;SERMEK;3
HAMAM;KESE;SICAK;GÖBEK TAŞI;BUHAR;YIKANMAK;3
ÇEYİZ;SANDIK;GELİN;İŞLEME;HAZIRLAMAK;DANTEL;3
KARAGÖZ;GÖLGE;PERDE;HACİVAT;OYUN;DEVE DERİSİ;4
MEDDAH;ANLATICI;KAHVEHANE;TEK KİŞİ;HİKÂYE;TAKLİT;5
NASREDDİN HOCA;FIKRA;EŞEK;GÜLDÜRMEK;AKŞEHİR;BİLGE;2
FIKRA;GÜLMEK;KISA;ANLATMAK;ESPRİ;SON;2
KELOĞLAN;MASAL;KEL;ANNE;AKILLI;ÇOCUK;3
HACİVAT;GÖLGE OYUNU;PERDE;KARAGÖZ;ARKADAŞ;KONUŞMA;3
GÖLGE OYUNU;PERDE;IŞIK;DEVE DERİSİ;OYNATMAK;ESKİ;4
ORTA OYUNU;MEYDAN;SEYİRCİ;GÜLDÜRÜ;TİYATRO;GELENEK;5
ÂŞIK;SAZ;ATIŞMA;DEYİŞ;HALK;GEZMEK;3
ATIŞMA;ÂŞIK;KARŞILIKLI;SÖZ;YARIŞ;SAZ;4
YUNUS EMRE;ŞAİR;SEVGİ;HALK;DİL;ANADOLU;3
MEVLANA;KONYA;MESNEVİ;HOŞGÖRÜ;GEL;SUFİ;2
SEMA;DÖNMEK;BEYAZ;TENNURE;MEVLEVİ;TÖREN;3
HACI BEKTAŞ;VELİ;NEVŞEHİR;ÖĞRETİ;HOŞGÖRÜ;ANADOLU;5
PİR SULTAN;ÂŞIK;DEYİŞ;SİVAS;HALK;SAZ;5
KARACAOĞLAN;ÂŞIK;SEVDA;ŞİİR;ÇUKUROVA;HALK;5
DEDE KORKUT;DESTAN;OĞUZ;ANLATI;BİLGE;KİTAP;4
NEVRUZ;BAHAR;ATEŞ;ATLAMAK;YENİ GÜN;MART;3
HIDRELLEZ;MAYIS;DİLEK;GÜL;ATEŞ;BAHAR;4
RAMAZAN DAVULCUSU;SAHUR;UYANDIRMAK;MANİ;SOKAK;BAHŞİŞ;3
SAHUR;RAMAZAN;GECE;YEMEK;KALKMAK;ORUÇ;2
İFTAR;AKŞAM;ORUÇ;EZAN;SOFRA;AÇMAK;2
EL ÖPMEK;BÜYÜK;SAYGI;BAYRAM;ALNA;GELENEK;2
HAYIR DUA;BÜYÜK;İSTEMEK;GÖNÜL;SÖZ;BEREKET;4
İMECE;BİRLİKTE;YARDIM;KÖY;İŞ;GÖNÜLLÜ;4
LOHUSA ŞERBETİ;DOĞUM;KIRMIZI;İKRAM;BEBEK;ZİYARET;5
DİŞ BUĞDAYI;BEBEK;İLK DİŞ;HAŞLAMAK;İKRAM;GELENEK;5
BEŞİK;BEBEK;SALLAMAK;AHŞAP;NİNNİ;UYKU;2
GELİN ALMA;DÜĞÜN;KONVOY;BABA EVİ;KORNA;KUŞAK;3
